Repository,Repository_owner,Repository_fullname,Is_fork,Parent,Stars,Watchers,Forks,Description,Language,Languages,Topic,Contributors,Open_issues,Open_pull_requests,License,Created,Last_update
go,golang,golang/go,False,,110213,3474,16223,The Go programming language,Go,"['Go', 'Assembly', 'HTML', 'C', 'Shell', 'Perl', 'JavaScript', 'Python', 'Batchfile', 'Dockerfile', 'C++', 'Makefile', 'Awk', 'Fortran']","['go', 'golang', 'language', 'programming-language']",391,8280,330,LICENSE,2014-08-19 04:33:40,2023-04-13 11:41:43
react-native,facebook,facebook/react-native,False,,108943,3657,23145,A framework for building native applications using React,Java,"['Java', 'C++', 'JavaScript', 'Objective-C', 'Objective-C++', 'Starlark', 'Ruby', 'Kotlin', 'Shell', 'TypeScript', 'CMake', 'C', 'Assembly', 'XSLT', 'HTML', 'Batchfile']","['android', 'app-framework', 'cross-platform', 'ios', 'mobile', 'mobile-development', 'react', 'react-native']",329,2074,296,LICENSE-docs,2015-01-09 18:10:16,2023-04-13 10:52:14
electron,electron,electron/electron,False,,106819,2896,14544,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",C++,"['C++', 'TypeScript', 'Objective-C++', 'JavaScript', 'Python', 'Objective-C', 'HTML', 'Shell', 'Batchfile', 'C', 'CSS', 'PowerShell']","['c-plus-plus', 'chrome', 'css', 'electron', 'html', 'javascript', 'nodejs', 'v8', 'works-with-codespaces']",383,939,101,LICENSE,2013-04-12 01:47:36,2023-04-13 10:18:18
d3,d3,d3/d3,False,,104999,3746,23304,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:",JavaScript,['JavaScript'],"['chart', 'charts', 'data-visualization', 'svg', 'visualization']",120,6,0,LICENSE,2010-09-27 17:22:42,2023-04-13 09:21:40
next.js,vercel,vercel/next.js,False,,104265,1366,23424,The React Framework,JavaScript,"['JavaScript', 'TypeScript', 'Rust', 'CSS', 'SCSS', 'Shell', 'Dockerfile', 'Batchfile', 'Sass']","['blog', 'browser', 'compiler', 'components', 'hybrid', 'nextjs', 'node', 'react', 'server-rendering', 'ssg', 'static', 'static-site-generator', 'universal', 'vercel']",450,1705,273,license.md,2016-10-05 23:32:51,2023-04-13 11:56:33
free-programming-books-zh_CN,justjavac,justjavac/free-programming-books-zh_CN,False,,101678,5926,27398,:books: 免费的计算机编程类中文书籍，欢迎投稿,,[],"['android', 'angular', 'books', 'free', 'ios', 'javascript', 'kotlin', 'pdf', 'programming', 'python', 'react', 'react-native', 'swift', 'vue']",119,27,26,LICENSE,2013-11-04 01:59:19,2023-04-13 11:51:32
awesome-go,avelino,avelino/awesome-go,False,,99747,2741,10876,"A curated list of awesome Go frameworks, libraries and software",Go,['Go'],"['awesome', 'awesome-list', 'go', 'golang', 'golang-library', 'hacktoberfest']",429,149,145,LICENSE,2014-07-06 13:42:15,2023-04-13 11:59:33
axios,axios,axios/axios,False,,99693,1202,10269,Promise based HTTP client for the browser and node.js,JavaScript,"['JavaScript', 'TypeScript', 'HTML', 'Handlebars']","['hacktoberfest', 'http-client', 'javascript', 'nodejs', 'promise']",401,415,50,LICENSE,2014-08-18 22:30:27,2023-04-13 11:42:03
create-react-app,facebook,facebook/create-react-app,False,,99454,1951,26247,Set up a modern web app by running one command.,JavaScript,"['JavaScript', 'Shell', 'CSS', 'HTML', 'AppleScript', 'TypeScript', 'SCSS', 'Sass']","['build-tools', 'react', 'zero-configuration']",455,1981,421,LICENSE,2016-07-17 14:55:11,2023-04-13 10:57:59
project-based-learning,practical-tutorials,practical-tutorials/project-based-learning,False,,97715,2191,13710,Curated list of project-based tutorials,,[],"['beginner-project', 'cpp', 'golang', 'javascript', 'project', 'python', 'tutorial', 'webdevelopment']",100,33,16,LICENSE.md,2017-04-12 05:07:46,2023-04-13 11:52:01
kubernetes,kubernetes,kubernetes/kubernetes,False,,97414,3243,35785,Production-Grade Container Scheduling and Management,Go,"['Go', 'Shell', 'PowerShell', 'Makefile', 'Dockerfile', 'Python', 'C', 'sed', 'Batchfile', 'HTML']","['cncf', 'containers', 'go', 'kubernetes']",358,2456,797,LICENSE,2014-06-06 22:56:04,2023-04-13 12:02:06
the-book-of-secret-knowledge,trimstray,trimstray/the-book-of-secret-knowledge,False,,95107,2082,7179,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.",,[],"['awesome', 'awesome-list', 'bsd', 'cheatsheets', 'devops', 'guidelines', 'hacking', 'hacks', 'howtos', 'linux', 'lists', 'manuals', 'one-liners', 'pentesters', 'resources', 'search-engines', 'security', 'security-researchers', 'sysops']",98,44,39,LICENSE.md,2018-06-23 10:43:14,2023-04-13 11:56:10
node,nodejs,nodejs/node,False,,94592,2893,25667,Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:,JavaScript,"['JavaScript', 'C++', 'Python', 'C', 'HTML', 'Shell', 'Makefile', 'Batchfile', 'Emacs Lisp', 'Perl', 'R', 'TypeScript', 'Assembly']","['javascript', 'js', 'linux', 'macos', 'mit', 'node', 'nodejs', 'runtime', 'windows']",443,1714,422,LICENSE,2014-11-26 19:57:11,2023-04-13 10:54:27
transformers,huggingface,huggingface/transformers,False,,92690,959,19542,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",Python,"['Python', 'Cuda', 'Shell', 'Dockerfile', 'C++', 'C', 'Cython', 'Makefile', 'Jsonnet']","['bert', 'deep-learning', 'flax', 'hacktoberfest', 'jax', 'language-model', 'language-models', 'machine-learning', 'model-hub', 'natural-language-processing', 'nlp', 'nlp-library', 'pretrained-models', 'python', 'pytorch', 'pytorch-transformers', 'seq2seq', 'speech-recognition', 'tensorflow', 'transformer']",437,671,140,LICENSE,2018-10-29 13:56:00,2023-04-13 11:54:09
three.js,mrdoob,mrdoob/three.js,False,,90724,2556,34433,JavaScript 3D Library.,JavaScript,"['JavaScript', 'HTML', 'Roff', 'SCSS', 'CSS']","['3d', 'augmented-reality', 'canvas', 'html5', 'javascript', 'svg', 'virtual-reality', 'webaudio', 'webgl', 'webgl2', 'webgpu', 'webxr']",364,497,135,LICENSE,2010-03-23 18:58:01,2023-04-13 10:02:40
TypeScript,microsoft,microsoft/TypeScript,False,,90328,2149,11670,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,TypeScript,"['TypeScript', 'JavaScript', 'Dockerfile', 'Shell']","['javascript', 'language', 'typechecker', 'typescript']",353,6115,250,LICENSE.txt,2014-06-17 15:28:39,2023-04-13 11:07:42
PowerToys,microsoft,microsoft/PowerToys,False,,89461,1095,5163,Windows system utilities to maximize productivity,C#,"['C#', 'C++', 'PowerShell', 'C', 'HTML', 'Batchfile', 'HLSL', 'JavaScript']","['color-picker', 'desktop', 'fancyzones', 'keyboard-manager', 'microsoft-powertoys', 'powerrename', 'powertoys', 'windows']",345,4823,22,LICENSE,2019-05-01 17:44:02,2023-04-13 11:56:18
tech-interview-handbook,yangshun,yangshun/tech-interview-handbook,False,,89371,1898,11680,💯 Curated coding interview preparation materials for busy software engineers,TypeScript,"['TypeScript', 'JavaScript', 'Python', 'HTML', 'CSS']","['algorithm', 'algorithm-interview', 'algorithm-interview-questions', 'algorithms', 'behavioral-interviews', 'coding-interviews', 'interview-practice', 'interview-preparation', 'interview-questions', 'system-design']",136,16,1,LICENSE,2016-07-05 05:00:48,2023-04-13 11:50:55
deno,denoland,denoland/deno,False,,88910,1477,4816,A modern runtime for JavaScript and TypeScript.,Rust,"['Rust', 'JavaScript', 'TypeScript', 'Lua', 'C', 'Dockerfile']","['deno', 'javascript', 'rust', 'typescript']",436,1320,93,LICENSE.md,2018-05-15 01:34:26,2023-04-13 11:56:40
nodebestpractices,goldbergyoni,goldbergyoni/nodebestpractices,False,,88595,1856,9161,:white_check_mark:  The Node.js best practices list (March 2023),JavaScript,"['JavaScript', 'Dockerfile', 'CSS', 'HTML', 'TypeScript']","['best-practices', 'es6', 'eslint', 'express', 'expressjs', 'javascript', 'jest', 'microservices', 'mocha', 'node-js', 'nodejs', 'nodejs-development', 'npm', 'rest', 'style-guide', 'styleguide', 'testing', 'types']",220,41,18,LICENSE,2017-09-15 08:33:19,2023-04-13 11:49:02
terminal,microsoft,microsoft/terminal,False,,88343,1307,7729,"The new Windows Terminal and the original Windows console host, all in the same place!",C++,"['C++', 'C#', 'C', 'PowerShell', 'Batchfile', 'HLSL', 'Python', 'Roff', 'JavaScript', 'HTML']","['cmd', 'command-line', 'console', 'terminal', 'windows-console', 'windows-terminal', 'wsl']",351,1547,56,LICENSE,2017-08-11 18:38:22,2023-04-13 09:57:40
angular,angular,angular/angular,False,,87452,3034,23394,The modern web developer’s platform,TypeScript,"['TypeScript', 'JavaScript', 'Starlark', 'HTML', 'CSS', 'SCSS', 'Shell', 'NASL', 'jq', 'Less']","['angular', 'javascript', 'pwa', 'typescript', 'web', 'web-framework', 'web-performance']",387,1414,197,LICENSE,2014-09-18 16:12:01,2023-04-13 10:41:45
material-ui,mui,mui/material-ui,False,,85778,1352,29546,"MUI Core: Ready-to-use foundational React components, free forever. It includes Material UI, which implements Google's Material Design.",JavaScript,"['JavaScript', 'TypeScript', 'HTML']","['design-systems', 'hacktoberfest', 'javascript', 'material-design', 'react', 'react-components', 'typescript']",421,1437,191,LICENSE,2014-08-18 19:11:54,2023-04-13 11:31:23
ant-design,ant-design,ant-design/ant-design,False,,85392,204,38941,An enterprise-class UI design language and React UI library,TypeScript,"['TypeScript', 'JavaScript', 'CSS', 'Shell', 'HTML']","['ant-design', 'antd', 'design-systems', 'react', 'typescript', 'ui-kit', 'ui-library']",379,957,61,LICENSE,2015-04-24 15:37:24,2023-04-13 11:19:46
puppeteer,puppeteer,puppeteer/puppeteer,False,,82686,1201,8876,Headless Chrome Node.js API,TypeScript,"['TypeScript', 'JavaScript', 'HTML', 'CSS', 'Dockerfile', 'Shell']","['automation', 'chrome', 'chromium', 'developer-tools', 'headless-chrome', 'node-module', 'testing', 'web']",445,264,6,LICENSE,2017-05-09 22:16:13,2023-04-13 11:55:36
vue-element-admin,PanJiaChen,PanJiaChen/vue-element-admin,False,,81776,2213,29543,:tada: A magical vue admin                                                                https://panjiachen.github.io/vue-element-admin,Vue,"['Vue', 'JavaScript', 'SCSS', 'CSS', 'Handlebars', 'HTML']","['admin', 'admin-dashboard', 'admin-template', 'axios', 'dashboard', 'desktop', 'element', 'element-ui', 'i18n', 'management-system', 'mock', 'tinymce', 'vue', 'vue-admin', 'vue-cli', 'vuex', 'webpack', 'webpack4', 'xlsx']",115,1280,100,LICENSE,2017-04-17 03:35:49,2023-04-13 11:05:27
clean-code-javascript,ryanmcdermott,ryanmcdermott/clean-code-javascript,False,,81443,1844,11031,:bathtub: Clean Code concepts adapted for JavaScript,JavaScript,['JavaScript'],"['best-practices', 'clean-architecture', 'clean-code', 'composition', 'inheritance', 'javascript', 'principles']",106,82,25,LICENSE,2016-11-25 22:25:41,2023-04-13 11:51:50
scrcpy,Genymobile,Genymobile/scrcpy,False,,80927,1128,8359,Display and control your Android device,C,"['C', 'Java', 'Roff', 'Meson', 'Shell', 'Makefile', 'AIDL', 'VBScript', 'Batchfile']","['android', 'c', 'ffmpeg', 'libav', 'mirroring', 'recording', 'screen', 'sdl2']",109,1315,34,LICENSE,2017-11-21 18:00:27,2023-04-13 10:02:59
java-design-patterns,iluwatar,iluwatar/java-design-patterns,False,,80905,3827,24855,Design patterns implemented in Java,Java,"['Java', 'HTML', 'CSS']","['awesome-list', 'design-patterns', 'hacktoberfest', 'java', 'principles', 'snippets', 'snippets-collection', 'snippets-library']",334,192,9,LICENSE.md,2014-08-09 16:45:18,2023-04-13 11:52:25
rust,rust-lang,rust-lang/rust,False,,80192,1493,10669,Empowering everyone to build reliable and efficient software.,Rust,"['Rust', 'JavaScript', 'Python', 'HTML', 'Shell', 'Fluent', 'Makefile', 'TypeScript', 'C++', 'Dockerfile', 'CSS', 'C', 'Roff', 'Assembly', 'RenderScript', 'Pascal', 'Puppet', 'XSLT', 'PowerShell', 'RPC', 'CMake', 'Batchfile']","['compiler', 'hacktoberfest', 'language', 'rust']",436,9544,711,COPYRIGHT,2010-06-16 20:39:03,2023-04-13 11:58:44
storybook,storybookjs,storybookjs/storybook,False,,78002,953,8339,"Storybook is a frontend workshop for building UI components and pages in isolation. Made for UI development, testing, and documentation. ",TypeScript,"['TypeScript', 'JavaScript', 'Vue', 'Svelte', 'HTML', 'CSS', 'EJS', 'Pug', 'Handlebars', 'Shell', 'Boo', 'SCSS']","['angular', 'components', 'design-systems', 'documentation', 'ember', 'html', 'javascript', 'react', 'react-native', 'storybook', 'styleguide', 'svelte', 'testing', 'typescript', 'ui', 'ui-components', 'vue', 'web-components', 'webpack']",365,2107,85,LICENSE,2016-03-18 04:23:44,2023-04-13 11:42:22
